Dir,Train Line,Train ID,Train Key,Stn01,Stn02,Stn03,Stn04,Stn05,Stn06,Stn07,Stn08,Stn09,Stn10,Stn11,Stn12,Stn13,Stn14,Stn15,Stn16,Stn17,Stn18,Stn19,Stn20,Stn21,Stn22,Stn23,Stn24,Stn25,Stn26,Stn27,Stn28,Stn29,Stn30,Stn31,Stn32,Stn33,Stn34,Dptr01,Dptr02,Dptr03,Dptr04,Dptr05,Dptr06,Dptr07,Dptr08,Dptr09,Dptr10,Dptr11,Dptr12,Dptr13,Dptr14,Dptr15,Dptr16,Dptr17,Dptr18,Dptr19,Dptr20,Dptr21,Dptr22,Dptr23,Dptr24,Dptr25,Dptr26,Dptr27,Dptr28,Dptr29,Dptr30,Dptr31,Dptr32,Dptr33,Dptr34
IN,ELBI,200,ELBI_200,Blue Island,Burr Oak,Ashland Avenue,Racine Avenue,West Pullman,Stewart Ridge,State Street,"Kensington, 115th St.","111th St., Pullman",107th Street,"103rd St., Rosemoor","95th St., Chicago State Univ.","91st St., Chesterfield","87th St., Woodruff","83rd St., Avalon Park","79th St., Chatham","75th St., Grand Crossing",63rd Street,"59th St., Univ. of Chicago",55th-56th-57th St.,"53rd St., Hyde Park","47th St., Kenwood",27th Street,McCormick Place,18th Street,Museum Campus/11th Street,Van Buren Street,Millennium Station at Randolph Street,,,,,,,4:39,4:41,4:43,4:44,4:46,4:48,4:50,4:53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
IN,ELBI,202,ELBI_202,Blue Island,Burr Oak,Ashland Avenue,Racine Avenue,West Pullman,Stewart Ridge,State Street,"Kensington, 115th St.","111th St., Pullman",107th Street,"103rd St., Rosemoor","95th St., Chicago State Univ.","91st St., Chesterfield","87th St., Woodruff","83rd St., Avalon Park","79th St., Chatham","75th St., Grand Crossing",63rd Street,"59th St., Univ. of Chicago",55th-56th-57th St.,"53rd St., Hyde Park","47th St., Kenwood",27th Street,McCormick Place,18th Street,Museum Campus/11th Street,Van Buren Street,Millennium Station at Randolph Street,,,,,,,5:30,5:32,5:34,5:35,5:37,5:39,5:41,5:44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
IN,ELBI,204,ELBI_204,Blue Island,Burr Oak,Ashland Avenue,Racine Avenue,West Pullman,Stewart Ridge,State Street,"Kensington, 115th St.","111th St., Pullman",107th Street,"103rd St., Rosemoor","95th St., Chicago State Univ.","91st St., Chesterfield","87th St., Woodruff","83rd St., Avalon Park","79th St., Chatham","75th St., Grand Crossing",63rd Street,"59th St., Univ. of Chicago",55th-56th-57th St.,"53rd St., Hyde Park","47th St., Kenwood",27th Street,McCormick Place,18th Street,Museum Campus/11th Street,Van Buren Street,Millennium Station at Randolph Street,,,,,,,6:10,6:12,6:14,6:15,6:17,6:19,6:21,6:27,6:29,6:30,6:31,6:33,6:35,6:37,6:39,6:40,6:42,6:45,6:47,6:49,6:50,-,6:55,6:57,-,7:00,7:03,7:06,,,,,,
IN,ELBI,500,ELBI_500,Blue Island,Burr Oak,Ashland Avenue,Racine Avenue,West Pullman,Stewart Ridge,State Street,"Kensington, 115th St.","111th St., Pullman",107th Street,"103rd St., Rosemoor","95th St., Chicago State Univ.","91st St., Chesterfield","87th St., Woodruff","83rd St., Avalon Park","79th St., Chatham","75th St., Grand Crossing",63rd Street,"59th St., Univ. of Chicago",55th-56th-57th St.,"53rd St., Hyde Park","47th St., Kenwood",27th Street,McCormick Place,18th Street,Museum Campus/11th Street,Van Buren Street,Millennium Station at Randolph Street,,,,,,,6:40,6:42,6:44,6:46,6:47,6:49,6:51,-,-,-,-,-,-,-,-,-,-,-,7:04,7:06,7:08,-,-,-,-,7:16,7:19,7:22,,,,,,
IN,ELBI,502,ELBI_502,Blue Island,Burr Oak,Ashland Avenue,Racine Avenue,West Pullman,Stewart Ridge,State Street,"Kensington, 115th St.","111th St., Pullman",107th Street,"103rd St., Rosemoor","95th St., Chicago State Univ.","91st St., Chesterfield","87th St., Woodruff","83rd St., Avalon Park","79th St., Chatham","75th St., Grand Crossing",63rd Street,"59th St., Univ. of Chicago",55th-56th-57th St.,"53rd St., Hyde Park","47th St., Kenwood",27th Street,McCormick Place,18th Street,Museum Campus/11th Street,Van Buren Street,Millennium Station at Randolph Street,,,,,,,7:00,7:02,7:04,7:05,7:07,7:09,7:12,7:17,-,-,-,-,-,-,-,-,-,-,-,7:27,-,-,-,-,-,7:36,7:39,7:43,,,,,,
IN,ELBI,504,ELBI_504,Blue Island,Burr Oak,Ashland Avenue,Racine Avenue,West Pullman,Stewart Ridge,State Street,"Kensington, 115th St.","111th St., Pullman",107th Street,"103rd St., Rosemoor","95th St., Chicago State Univ.","91st St., Chesterfield","87th St., Woodruff","83rd St., Avalon Park","79th St., Chatham","75th St., Grand Crossing",63rd Street,"59th St., Univ. of Chicago",55th-56th-57th St.,"53rd St., Hyde Park","47th St., Kenwood",27th Street,McCormick Place,18th Street,Museum Campus/11th Street,Van Buren Street,Millennium Station at Randolph Street,,,,,,,7:20,7:22,7:24,7:25,7:27,7:29,7:32,7:37,-,-,-,-,-,-,-,-,-,-,7:47,-,-,-,-,-,-,7:58,8:01,8:04,,,,,,
IN,ELBI,506,ELBI_506,Blue Island,Burr Oak,Ashland Avenue,Racine Avenue,West Pullman,Stewart Ridge,State Street,"Kensington, 115th St.","111th St., Pullman",107th Street,"103rd St., Rosemoor","95th St., Chicago State Univ.","91st St., Chesterfield","87th St., Woodruff","83rd St., Avalon Park","79th St., Chatham","75th St., Grand Crossing",63rd Street,"59th St., Univ. of Chicago",55th-56th-57th St.,"53rd St., Hyde Park","47th St., Kenwood",27th Street,McCormick Place,18th Street,Museum Campus/11th Street,Van Buren Street,Millennium Station at Randolph Street,,,,,,,7:40,7:42,7:44,7:45,7:47,7:49,7:52,7:56,7:57,-,7:59,8:01,-,-,-,8:04,-,8:08,8:10,8:12,8:15,8:16,8:19,8:21,8:23,8:27,8:30,8:33,,,,,,
IN,ELBI,508,ELBI_508,Blue Island,Burr Oak,Ashland Avenue,Racine Avenue,West Pullman,Stewart Ridge,State Street,"Kensington, 115th St.","111th St., Pullman",107th Street,"103rd St., Rosemoor","95th St., Chicago State Univ.","91st St., Chesterfield","87th St., Woodruff","83rd St., Avalon Park","79th St., Chatham","75th St., Grand Crossing",63rd Street,"59th St., Univ. of Chicago",55th-56th-57th St.,"53rd St., Hyde Park","47th St., Kenwood",27th Street,McCormick Place,18th Street,Museum Campus/11th Street,Van Buren Street,Millennium Station at Randolph Street,,,,,,,8:00,8:02,8:04,8:05,8:07,8:09,8:12,8:17,8:19,8:20,8:22,8:23,8:25,8:27,8:28,8:29,8:31,8:35,8:36,8:38,-,-,-,-,-,8:47,8:50,8:53,,,,,,
IN,ELBI,216,ELBI_216,Blue Island,Burr Oak,Ashland Avenue,Racine Avenue,West Pullman,Stewart Ridge,State Street,"Kensington, 115th St.","111th St., Pullman",107th Street,"103rd St., Rosemoor","95th St., Chicago State Univ.","91st St., Chesterfield","87th St., Woodruff","83rd St., Avalon Park","79th St., Chatham","75th St., Grand Crossing",63rd Street,"59th St., Univ. of Chicago",55th-56th-57th St.,"53rd St., Hyde Park","47th St., Kenwood",27th Street,McCormick Place,18th Street,Museum Campus/11th Street,Van Buren Street,Millennium Station at Randolph Street,,,,,,,9:18,9:20,9:22,9:24,9:26,9:28,9:30,9:34,9:36,9:37,9:39,9:40,9:41,9:43,9:44,9:45,9:47,9:50,9:51,9:53,9:55,9:56,9:59,10:00,10:01,10:03,10:05,10:09,,,,,,
IN,ELBI,220,ELBI_220,Blue Island,Burr Oak,Ashland Avenue,Racine Avenue,West Pullman,Stewart Ridge,State Street,"Kensington, 115th St.","111th St., Pullman",107th Street,"103rd St., Rosemoor","95th St., Chicago State Univ.","91st St., Chesterfield","87th St., Woodruff","83rd St., Avalon Park","79th St., Chatham","75th St., Grand Crossing",63rd Street,"59th St., Univ. of Chicago",55th-56th-57th St.,"53rd St., Hyde Park","47th St., Kenwood",27th Street,McCormick Place,18th Street,Museum Campus/11th Street,Van Buren Street,Millennium Station at Randolph Street,,,,,,,11:18,11:20,11:22,11:24,11:26,11:28,11:30,11:34,11:36,11:37,11:39,11:40,11:41,11:43,11:44,11:45,11:47,11:50,11:51,11:53,11:55,11:56,11:59,12:00,12:01,12:03,12:05,12:09,,,,,,
