TrainStationCoach_Index,Train_Index,StationCode,StationName,StationTime,TrainCoach_Index,Ons,Offs,StationComment
15_2121_08000_01,15_2121,08000,Union Station,02:35 PM,15_2121_01,38,0,
15_2122_08000_01,15_2122,08000,Union Station,08:49 AM,15_2122_01,0,115,
15_2123_08000_01,15_2123,08000,Union Station,03:37 PM,15_2123_01,59,0,
15_2124_08000_01,15_2124,08000,Union Station,08:56 AM,15_2124_01,0,118,
15_2125_08000_01,15_2125,08000,Union Station,03:55 PM,15_2125_01,103,0,
15_2126_08000_01,15_2126,08000,Union Station,09:22 AM,15_2126_01,0,103,
15_2127_08000_01,15_2127,08000,Union Station,04:16 PM,15_2127_01,67,0,
15_2128_08000_01,15_2128,08000,Union Station,10:22 AM,15_2128_01,0,45,
15_2129_08000_01,15_2129,08000,Union Station,04:40 PM,15_2129_01,134,0,
15_2130_08000_01,15_2130,08000,Union Station,11:22 AM,15_2130_01,0,42,
15_2131_08000_01,15_2131,08000,Union Station,04:45 PM,15_2131_01,90,0,
15_2132_08000_01,15_2132,08000,Union Station,12:22 PM,15_2132_01,0,64,
15_2133_08000_01,15_2133,08000,Union Station,04:48 PM,15_2133_01,70,0,
15_2134_08000_01,15_2134,08000,Union Station,01:22 PM,15_2134_01,0,43,
15_2135_08000_01,15_2135,08000,Union Station,05:12 PM,15_2135_01,123,0,
15_2136_08000_01,15_2136,08000,Union Station,02:22 PM,15_2136_01,0,21,
15_2137_08000_01,15_2137,08000,Union Station,05:15 PM,15_2137_01,23,0,
15_2138_08000_01,15_2138,08000,Union Station,03:22 PM,15_2138_01,0,30,
15_2139_08000_01,15_2139,08000,Union Station,05:25 PM,15_2139_01,130,0,
15_2140_08000_01,15_2140,08000,Union Station,04:22 PM,15_2140_01,0,50,
15_2141_08000_01,15_2141,08000,Union Station,05:30 PM,15_2141_01,85,0,
15_2142_08000_01,15_2142,08000,Union Station,05:10 PM,15_2142_01,0,37,
15_2143_08000_01,15_2143,08000,Union Station,05:52 PM,15_2143_01,104,0,
15_2144_08000_01,15_2144,08000,Union Station,05:28 PM,15_2144_01,0,26,
15_2145_08000_01,15_2145,08000,Union Station,05:58 PM,15_2145_01,89,0,
15_2146_08000_01,15_2146,08000,Union Station,05:52 PM,15_2146_01,0,29,
15_2147_08000_01,15_2147,08000,Union Station,06:19 PM,15_2147_01,101,0,
15_2148_08000_01,15_2148,08000,Union Station,06:11 PM,15_2148_01,0,26,
15_2149_08000_01,15_2149,08000,Union Station,06:55 PM,15_2149_01,59,0,1 on board
15_2150_08000_01,15_2150,08000,Union Station,06:44 PM,15_2150_01,0,31,
15_2151_08000_01,15_2151,08000,Union Station,07:35 PM,15_2151_01,78,0,
15_2152_08000_01,15_2152,08000,Union Station,07:14 PM,15_2152_01,0,12,
15_2153_08000_01,15_2153,08000,Union Station,08:35 PM,15_2153_01,43,0,
15_2154_08000_01,15_2154,08000,Union Station,07:53 PM,15_2154_01,0,14,
